"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 20:10:57 GMT 2025","Wed Oct 01 20:10:58 GMT 2025","1558","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Oct 01 20:10:50 GMT 2025","Wed Oct 01 20:10:51 GMT 2025","1711","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Oct 01 20:10:48 GMT 2025","Wed Oct 01 20:10:49 GMT 2025","1544","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 01 20:10:51 GMT 2025","Wed Oct 01 20:10:53 GMT 2025","1343","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Oct 01 20:10:48 GMT 2025","Wed Oct 01 20:10:50 GMT 2025","1393","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Oct 01 20:10:44 GMT 2025","Wed Oct 01 20:10:48 GMT 2025","3206","LMS system","Authentication","Authorization","","","User login with correct email or password",""
"passed","Wed Oct 01 20:10:53 GMT 2025","Wed Oct 01 20:10:57 GMT 2025","3944","LMS system","Courses","Courses","","","Create and edit created course",""
"passed","Wed Oct 01 20:10:53 GMT 2025","Wed Oct 01 20:10:56 GMT 2025","3299","LMS system","Courses","Courses","","","Create with course",""
"passed","Wed Oct 01 20:10:47 GMT 2025","Wed Oct 01 20:10:48 GMT 2025","1610","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 01 20:10:44 GMT 2025","Wed Oct 01 20:10:46 GMT 2025","1919","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
